pocket,compound_id,desalted_smiles,source_database,best_docking_score_kcal_mol,median_docking_score_kcal_mol,max_tanimoto_to_reference,fingerprint_methods,observation_count,original_smiles,canonical_smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,passes_lipinski_light
BP1,1401,Cc1cc(=O)oc2cc(O)ccc12,numeric library ID,-6.967,-6.967,0.957,Avalon;FCFP;Morgan;Pairs;Pattern;RDK;Rdmaccs;Torsions,8,CC1=CC(=O)OC2=C1C=CC(O)=C2,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,True
BP1,4MU,Cc1cc(=O)oc2cc(O)ccc12,PDB ligand,-6.967,-6.967,0.957,Avalon;FCFP;Morgan;Pairs;RDK;Rdmaccs;Torsions,7,c1cc(cc2oc(=O)cc(C)c12)O,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,True
BP1,529222,Cc1cc(=O)oc2cc(O)ccc12,numeric library ID,-6.967,-6.967,0.957,Rdmaccs,1,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,True
BP1,760397,Cc1cc(=O)oc2cc(O)ccc12,numeric library ID,-6.967,-6.967,0.537,Morgan;Pairs;Torsions,3,c1(cc(=O)oc2c1ccc(c2)O)C,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,True
BP1,DB07118,Cc1cc(=O)oc2cc(O)ccc12,DrugBank,-6.967,-6.967,0.704,Avalon;Morgan;RDK;Torsions,4,c1cc(cc2oc(=O)cc(C)c12)O,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,True
BP1,HMDB59622,Cc1cc(=O)oc2cc(O)ccc12,HMDB,-6.967,-6.967,0.704,Avalon,1,CC1=CC(=O)OC2=C1C=CC(O)=C2,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,True
BP1,LSM-3025,Cc1cc(=O)oc2cc(O)ccc12,LINCS,-6.967,-6.967,0.704,Avalon;FCFP;RDK,3,CC1=CC(=O)Oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,True
BP1,4417258,Cc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1,numeric library ID,-6.954,-6.954,0.613,FCFP,1,Cc1ccc(cc1)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,Cc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1,426.424,4.799,2,6,100.88,3,32,True
BP1,62129,Oc1ccc2c(ccc3nc[nH]c32)c1,numeric library ID,-6.945,-6.945,0.603,Pattern,1,[nH]1cnc2c1c1ccc(cc1cc2)O,Oc1ccc2c(ccc3nc[nH]c32)c1,184.198,2.422,2,2,48.91,0,14,True
BP1,MolPort-000-499-561,O=C(O)c1cc(=O)c2ccccc2o1,MolPort,-6.931,-6.931,0.679,Pairs;Torsions,2,OC(=O)c1cc(=O)c2ccccc2o1,O=C(O)c1cc(=O)c2ccccc2o1,190.154,1.491,1,3,67.51,1,14,True
BP1,DB00776,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,DrugBank,-6.883,-6.883,0.306,Pairs,1,O=C1Cc2c(N(c3c1cccc3)C(=O)N)cccc2,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,252.273,2.642,1,2,63.4,0,19,True
BP1,29698120,O=c1cc(O)c2ccc(F)cc2o1,numeric library ID,-6.856,-6.856,0.913,Avalon,1,Oc1cc(=O)oc2cc(F)ccc12,O=c1cc(O)c2ccc(F)cc2o1,180.134,1.638,1,3,50.44,0,13,True
BP1,SCHEMBL2761833,O=c1cc(O)c2ccc(F)cc2o1,SureChEMBL,-6.856,-6.856,0.913,Avalon;FCFP;RDK,3,c12oc(=O)cc(c1ccc(c2)F)O,O=c1cc(O)c2ccc(F)cc2o1,180.134,1.638,1,3,50.44,0,13,True
BP1,ZINC000044672070,O=c1cc(O)c2ccc(F)cc2o1,ZINC15,-6.856,-6.856,0.827,RDK,1,O=c1cc(O)c2ccc(F)cc2o1,O=c1cc(O)c2ccc(F)cc2o1,180.134,1.638,1,3,50.44,0,13,True
