desalted_smiles,compound_ids,source_databases,BP1,BP2,ensemble_best_score_kcal_mol,ensemble_mean_score_kcal_mol,observed_pocket_count,rank_ensemble_best,rank_ensemble_mean,max_tanimoto_to_reference,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,passes_lipinski_light
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,LSM-36455,LINCS,,-7.102,-7.102,-7.102,1,46,46,0.581,302.194,1.313,4,8,141.34,0,22,True
O=c1c2ccccc2oc2cc(O)cc(O)c12,10510606;MolPort-006-318-916;ZINC000006117594,MolPort;ZINC15;numeric library ID,-7.092,,-7.092,-7.092,1,47,47,0.514,228.203,2.357,2,4,70.67,0,17,True
Cc1ccc2c(=O)oc3cc(O)ccc3c2c1,SCHEMBL15388250,SureChEMBL,-7.072,,-7.072,-7.072,1,48,48,0.957,226.231,2.96,1,3,50.44,0,17,True
O=C1c2ccccc2-c2cccc3cccc1c23,LSM-3723,LINCS,-7.064,,-7.064,-7.064,1,49,49,0.393,230.266,4.051,0,1,17.07,0,18,True
Cc1cc(=O)oc2cc(O)cc(O)c12,402797;MolPort-000-744-145;ZINC000000058126,MolPort;ZINC15;numeric library ID,-7.062,,-7.062,-7.062,1,50,50,0.788,192.17,1.513,2,4,70.67,0,14,True
Oc1cc2ccccc2c2ccccc12,HMDB59801,HMDB,-7.051,,-7.051,-7.051,1,51,51,0.406,194.233,3.699,1,1,20.23,0,15,True
O=C(O)c1cc2ccccc2c2cc(Br)ccc12,151252,numeric library ID,-7.043,,-7.043,-7.043,1,52,52,0.5,301.139,4.454,1,1,37.3,1,18,True
O=c1cc(CCl)c2ccc(O)cc2o1,CHEMBL271516;MolPort-000-422-134,ChEMBL23;MolPort,-7.036,,-7.036,-7.036,1,53,53,0.815,210.616,2.237,1,3,50.44,1,14,True
Cc1cc(O)nc2cc(O)ccc12,LSM-25905,LINCS,-7.024,,-7.024,-7.024,1,54,54,0.645,175.187,1.954,2,3,53.35,0,13,True
O=c1cc(O)c2c(=O)oc3ccccc3c2o1,2357873;MolPort-002-153-633;ZINC000002897678,MolPort;ZINC15;numeric library ID,,-7.02,-7.02,-7.02,1,55,55,0.88,230.175,1.605,1,5,80.65,0,17,True
O=c1cc(Oc2cc(=O)oc3ccccc23)c2ccccc2o1,2035856,numeric library ID,,-7.005,-7.005,-7.005,1,56,56,0.791,306.273,3.692,0,5,69.65,2,23,True
COc1ccc2c(=O)oc3cc(O)ccc3c2c1,54870284,numeric library ID,-6.991,,-6.991,-6.991,1,57,57,0.691,242.23,2.66,1,4,59.67,1,18,True
CN(C)C(=O)c1c(-c2ccccc2)oc2ccc(O)cc12,LSM-32647,LINCS,-6.988,,-6.988,-6.988,1,58,58,0.304,281.311,3.507,1,3,53.68,2,21,True
O=C(NC1CCCC1)c1cc2c(ccc3ccccc32)o1,LSM-33579,LINCS,-6.986,,-6.986,-6.986,1,59,59,0.395,279.339,4.258,1,2,42.24,2,21,True
C#Cc1cc(=O)oc2ccccc12,53845739;SCHEMBL13315779;ZINC000200389531,SureChEMBL;ZINC15;numeric library ID,-6.98,,-6.98,-6.98,1,60,60,0.847,170.167,1.774,0,2,30.21,0,13,True
O=c1cc(O)c2ccc(OCc3cccc(F)c3)cc2o1,CHEMBL3094027,ChEMBL23,,-6.968,-6.968,-6.968,1,61,61,0.672,286.258,3.217,1,4,59.67,3,21,True
Cc1cc(=O)oc2cc(O)ccc12,1401;4MU;529222;760397;CHEMBL12208;DB07118;HMDB59622;LSM-3025;MolPort-000-467-367;ZINC000000058121,ChEMBL23;DrugBank;HMDB;LINCS;MolPort;PDB ligand;ZINC15;numeric library ID,-6.967,-6.453,-6.967,-6.71,2,62,78,0.957,176.171,1.807,1,3,50.44,0,13,True
O=c1cc2oc3cc(O)c(O)cc3c(-c3ccccc3)c-2cc1O,2608,numeric library ID,,-6.961,-6.961,-6.961,1,63,62,0.476,320.3,3.682,3,5,90.9,1,24,True
CC(=O)c1ccc2oc(=O)cc(C)c2c1O,HMDB29518,HMDB,,-6.957,-6.957,-6.957,1,64,63,0.714,218.208,2.01,1,4,67.51,1,16,True
Cc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1,4417258,numeric library ID,-6.954,,-6.954,-6.954,1,65,64,0.613,426.424,4.799,2,6,100.88,3,32,True
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,1477,numeric library ID,,-6.953,-6.953,-6.953,1,66,65,0.614,280.323,4.247,0,3,39.44,3,21,True
Oc1ccc2c(ccc3nc[nH]c32)c1,62129,numeric library ID,-6.945,,-6.945,-6.945,1,67,66,0.603,184.198,2.422,2,2,48.91,0,14,True
