compound_id,docking_score_kcal_mol,tanimoto_to_reference,smiles,fingerprint_method,pocket,source_file,valid_smiles,canonical_smiles,desalted_smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,source_database,passes_lipinski_light
529222,-6.967,0.957,Cc1cc(=O)oc2cc(O)ccc12,Rdmaccs,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,numeric library ID,True
53845739,-6.98,0.704,O=c1cc(C#C)c2ccccc2o1,Torsions,BP1,BP1_candidates.xlsx,True,C#Cc1cc(=O)oc2ccccc12,C#Cc1cc(=O)oc2ccccc12,170.167,1.774,0,2,30.21,0,13,numeric library ID,True
DB00972,-6.318,0.263,Clc1ccc(Cc2nn(C3CCCN(CC3)C)c(=O)c3c2cccc3)cc1,Avalon,BP1,BP1_candidates.xlsx,True,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,381.907,4.298,0,4,38.13,3,27,DrugBank,True
DB04840,-6.513,0.222,N1(CCc2c(C1)cccc2)C(=N)N,FCFP,BP1,BP1_candidates.xlsx,True,N=C(N)N1CCc2ccccc2C1,N=C(N)N1CCc2ccccc2C1,175.235,0.938,2,1,53.11,0,13,DrugBank,True
DB00170,-6.575,0.189,O=C1c2c(C(=O)C=C1C)cccc2,Morgan,BP1,BP1_candidates.xlsx,True,CC1=CC(=O)c2ccccc2C1=O,CC1=CC(=O)c2ccccc2C1=O,172.183,2.012,0,2,34.14,0,13,DrugBank,True
DB00776,-6.883,0.306,O=C1Cc2c(N(c3c1cccc3)C(=O)N)cccc2,Pairs,BP1,BP1_candidates.xlsx,True,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,252.273,2.642,1,2,63.4,0,19,DrugBank,True
DB00170,-6.575,0.615,O=C1c2c(C(=O)C=C1C)cccc2,Pattern,BP1,BP1_candidates.xlsx,True,CC1=CC(=O)c2ccccc2C1=O,CC1=CC(=O)c2ccccc2C1=O,172.183,2.012,0,2,34.14,0,13,DrugBank,True
DB00170,-6.575,0.324,O=C1c2c(C(=O)C=C1C)cccc2,Torsions,BP1,BP1_candidates.xlsx,True,CC1=CC(=O)c2ccccc2C1=O,CC1=CC(=O)c2ccccc2C1=O,172.183,2.012,0,2,34.14,0,13,DrugBank,True
HMDB59622,-6.967,0.704,CC1=CC(=O)OC2=C1C=CC(O)=C2,Avalon,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,HMDB,True
HMDB34138,-7.241,0.516,OC1=CC2=C(C=C1)C1=C(C3=C(O)C=C(O)C=C3O1)C(=O)O2,FCFP,BP1,BP1_candidates.xlsx,True,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,284.223,2.809,3,6,104.04,0,21,HMDB,True
HMDB34138,-7.241,0.302,OC1=CC2=C(C=C1)C1=C(C3=C(O)C=C(O)C=C3O1)C(=O)O2,Morgan,BP1,BP1_candidates.xlsx,True,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,284.223,2.809,3,6,104.04,0,21,HMDB,True
