pocket,compound_ids,source_databases,desalted_smiles,old_best_docking_score_kcal_mol,new_vina_score_kcal_mol,score_delta_new_minus_old,ligand_name,out_pdbqt,log_path,returncode
BP1,5426,numeric library ID,Cc1c2cc(O)c(=O)cc-2oc2cc(O)c(O)cc12,-6.757,-6.902,-0.14500000000000046,BP1_5426,work/docking/BP1/BP1_5426_vina_out.pdbqt,work/docking/BP1/BP1_5426_vina.log,0
BP1,DB00170,DrugBank,CC1=CC(=O)c2ccccc2C1=O,-6.575,-6.555,0.020000000000000462,BP1_DB00170,work/docking/BP1/BP1_DB00170_vina_out.pdbqt,work/docking/BP1/BP1_DB00170_vina.log,0
BP1,SCHEMBL9642273,SureChEMBL,O=c1[cH-]c(=O)c2ccccc2o1,-6.514,-6.593,-0.07899999999999974,BP1_SCHEMBL9642273,work/docking/BP1/BP1_SCHEMBL9642273_vina_out.pdbqt,work/docking/BP1/BP1_SCHEMBL9642273_vina.log,0
BP1,DB04840,DrugBank,N=C(N)N1CCc2ccccc2C1,-6.513,-6.386,0.12699999999999978,BP1_DB04840,work/docking/BP1/BP1_DB04840_vina_out.pdbqt,work/docking/BP1/BP1_DB04840_vina.log,0
BP1,DB00972,DrugBank,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,-6.318,-7.179,-0.8610000000000007,BP1_DB00972,work/docking/BP1/BP1_DB00972_vina_out.pdbqt,work/docking/BP1/BP1_DB00972_vina.log,0
BP2,746361,numeric library ID,Oc1cc(-c2nc3ccccc3o2)c(O)cc1-c1nc2ccccc2o1,-9.116,-9.761,-0.6449999999999996,BP2_746361,work/docking/BP2/BP2_746361_vina_out.pdbqt,work/docking/BP2/BP2_746361_vina.log,0
BP2,3543,numeric library ID,Cc1ccccc1N=Nc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,-9.093,-8.398,0.6950000000000003,BP2_3543,work/docking/BP2/BP2_3543_vina_out.pdbqt,work/docking/BP2/BP2_3543_vina.log,0
BP2,118810,numeric library ID,Cc1cc(=O)oc2cc(O)cc(OCc3ccccc3)c12,-8.495,-8.985,-0.4900000000000002,BP2_118810,work/docking/BP2/BP2_118810_vina_out.pdbqt,work/docking/BP2/BP2_118810_vina.log,0
BP2,50651,numeric library ID,O=C(Nc1ccc(Cl)cc1)c1cc2c(cc1O)[nH]c1ccccc12,-8.307,-8.76,-0.4529999999999994,BP2_50651,work/docking/BP2/BP2_50651_vina_out.pdbqt,work/docking/BP2/BP2_50651_vina.log,0
BP2,MolPort-002-321-924,MolPort,O=C(NNC(=O)c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,-8.303,-9.173,-0.8699999999999992,BP2_MolPort-002-321-924,work/docking/BP2/BP2_MolPort-002-321-924_vina_out.pdbqt,work/docking/BP2/BP2_MolPort-002-321-924_vina.log,0
BP2,686393;CHEMBL392451,ChEMBL23;numeric library ID,O=c1oc2ccccc2c(O)c1C(c1cccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)c1)c1c(O)c2ccccc2oc1=O,-8.211,-10.76,-2.5489999999999995,BP2_686393,work/docking/BP2/BP2_686393_vina_out.pdbqt,work/docking/BP2/BP2_686393_vina.log,0
BP2,CHEMBL1364708;MolPort-003-378-434,ChEMBL23;MolPort,O=c1cc(-c2cc3ccccc3o2)c2cc(O)ccc2o1,-8.175,-8.959,-0.7839999999999989,BP2_CHEMBL1364708,work/docking/BP2/BP2_CHEMBL1364708_vina_out.pdbqt,work/docking/BP2/BP2_CHEMBL1364708_vina.log,0
BP2,4368550;CHEMBL1801014;ZINC000000057885,ChEMBL23;ZINC15;numeric library ID,O=c1cc(-c2cccc(O)c2)oc2c1ccc1ccccc12,-8.141,-9.201,-1.0600000000000005,BP2_4368550,work/docking/BP2/BP2_4368550_vina_out.pdbqt,work/docking/BP2/BP2_4368550_vina.log,0
BP2,7524,numeric library ID,COc1ccc(C(=O)O[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@]6(O)C[C@H](O)[C@@]7(O)[C@@H](CN8C[C@@H](C)CC[C@H]8[C@@]7(C)O)[C@]6(O)C[C@@]53O[C@@]24O)cc1OC,-8.124,-9.006,-0.8819999999999997,BP2_7524,work/docking/BP2/BP2_7524_vina_out.pdbqt,work/docking/BP2/BP2_7524_vina.log,0
BP2,656562,numeric library ID,O=c1oc2cc3ccccc3cc2c2c1ccc1ccccc12,-8.08,-8.979,-0.8989999999999991,BP2_656562,work/docking/BP2/BP2_656562_vina_out.pdbqt,work/docking/BP2/BP2_656562_vina.log,0
BP2,DB06595,DrugBank,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,-7.953,-9.509,-1.556,BP2_DB06595,work/docking/BP2/BP2_DB06595_vina_out.pdbqt,work/docking/BP2/BP2_DB06595_vina.log,0
BP2,HMDB30796;LSM-36988;MRI,HMDB;LINCS;PDB ligand,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-7.943,-7.95,-0.007000000000000561,BP2_HMDB30796,work/docking/BP2/BP2_HMDB30796_vina_out.pdbqt,work/docking/BP2/BP2_HMDB30796_vina.log,0
BP2,71881,numeric library ID,O=C(Nc1ccc2ncccc2c1)Nc1ccc2ncccc2c1,-7.856,-8.611,-0.7550000000000008,BP2_71881,work/docking/BP2/BP2_71881_vina_out.pdbqt,work/docking/BP2/BP2_71881_vina.log,0
BP2,338;DB07009,DrugBank;PDB ligand,Oc1ccc2nc(-c3cccc4c(O)cccc34)oc2c1,-7.843,-9.092,-1.2490000000000006,BP2_338,work/docking/BP2/BP2_338_vina_out.pdbqt,work/docking/BP2/BP2_338_vina.log,0
BP2,HMDB30821,HMDB,O=c1ccc2cc(O)c(OC3OC(CO)C(O)C(O)C3O)cc2o1,-7.718,-8.717,-0.9990000000000006,BP2_HMDB30821,work/docking/BP2/BP2_HMDB30821_vina_out.pdbqt,work/docking/BP2/BP2_HMDB30821_vina.log,0
BP2,13974,numeric library ID,Nc1ccc(N=Nc2ccccc2)c2ccccc12,-7.699,-8.419,-0.7200000000000006,BP2_13974,work/docking/BP2/BP2_13974_vina_out.pdbqt,work/docking/BP2/BP2_13974_vina.log,0
BP2,HMDB38956,HMDB,O=c1oc(C=CC=Cc2ccc(O)cc2)nc2ccccc12,-7.636,-8.109,-0.47299999999999986,BP2_HMDB38956,work/docking/BP2/BP2_HMDB38956_vina_out.pdbqt,work/docking/BP2/BP2_HMDB38956_vina.log,0
