pocket,compound_ids,source_databases,desalted_smiles,ligand_name,conformation_id,conformation_mode,conformation_direction,old_best_docking_score_kcal_mol,ensemble_vina_score_kcal_mol,out_pdbqt,log_path,returncode
BP2,85Z,PDB ligand,Cc1cc(F)ccc1-c1c(Cc2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2oc1=O,BP2_85Z,conf00_base,base,0,-7.594,-9.767,work/ensemble_docking/conf00_base/BP2/BP2_85Z_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_85Z_vina.log,0
BP2,CHEMBL2262363,ChEMBL23,O=c1oc2ccccc2c(O)c1-c1cccc(-c2c(O)c3ccccc3oc2=O)c1,BP2_CHEMBL2262363,conf00_base,base,0,-7.581,-8.86,work/ensemble_docking/conf00_base/BP2/BP2_CHEMBL2262363_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_CHEMBL2262363_vina.log,0
BP2,DB07236,DrugBank,Oc1ccc2cc(-c3noc4cc(O)ccc34)ccc2c1,BP2_DB07236,conf00_base,base,0,-7.533,-8.051,work/ensemble_docking/conf00_base/BP2/BP2_DB07236_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_DB07236_vina.log,0
BP2,LSM-27001,LINCS,O=c1oc2cc(OCc3ccc([N+](=O)[O-])cc3)ccc2c2c1CCCC2,BP2_LSM-27001,conf00_base,base,0,-7.532,-8.834,work/ensemble_docking/conf00_base/BP2/BP2_LSM-27001_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_LSM-27001_vina.log,0
BP2,317,PDB ligand,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,BP2_317,conf00_base,base,0,-7.497,-7.713,work/ensemble_docking/conf00_base/BP2/BP2_317_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_317_vina.log,0
BP2,HMDB29534,HMDB,CC(=O)c1c(O)ccc2c(=O)c(-c3ccccc3)c(C)oc12,BP2_HMDB29534,conf00_base,base,0,-7.487,-7.424,work/ensemble_docking/conf00_base/BP2/BP2_HMDB29534_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_HMDB29534_vina.log,0
BP2,DB08820,DrugBank,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,BP2_DB08820,conf00_base,base,0,-7.456,-8.813,work/ensemble_docking/conf00_base/BP2/BP2_DB08820_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_DB08820_vina.log,0
BP2,DB04750,DrugBank,O=C(O)c1ccc(-c2c3cc(F)c(=O)cc-3oc3cc(O)c(F)cc23)c(C(=O)O)c1,BP2_DB04750,conf00_base,base,0,-7.429,-8.796,work/ensemble_docking/conf00_base/BP2/BP2_DB04750_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_DB04750_vina.log,0
BP2,1842204;MolPort-002-113-300;ZINC000000296657,MolPort;ZINC15;numeric library ID,O=C(Oc1cc(=O)oc2ccccc12)c1ccccc1,BP2_1842204,conf00_base,base,0,-7.367,-7.853,work/ensemble_docking/conf00_base/BP2/BP2_1842204_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_1842204_vina.log,0
BP2,DB01852;LSM-5304,DrugBank;LINCS,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,BP2_DB01852,conf00_base,base,0,-7.312,-7.875,work/ensemble_docking/conf00_base/BP2/BP2_DB01852_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_DB01852_vina.log,0
BP2,HMDB29219,HMDB,O=c1oc2c(O)c(O)ccc2c2cc(O)c(O)cc12,BP2_HMDB29219,conf00_base,base,0,-7.247,-7.649,work/ensemble_docking/conf00_base/BP2/BP2_HMDB29219_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_HMDB29219_vina.log,0
BP2,SCHEMBL11830680,SureChEMBL,O=c1cc(O)c2cc(Cc3ccccc3)ccc2o1,BP2_SCHEMBL11830680,conf00_base,base,0,-7.191,-7.857,work/ensemble_docking/conf00_base/BP2/BP2_SCHEMBL11830680_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_SCHEMBL11830680_vina.log,0
BP2,17055,numeric library ID,CC(=O)Oc1ccc2cc(-c3ccccc3)c(=O)oc2c1,BP2_17055,conf00_base,base,0,-7.183,-7.854,work/ensemble_docking/conf00_base/BP2/BP2_17055_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_17055_vina.log,0
BP2,CHEMBL374372,ChEMBL23,O=c1cc(/C=C/c2ccc(O)c(O)c2)oc2ccccc12,BP2_CHEMBL374372,conf00_base,base,0,-7.174,-8.578,work/ensemble_docking/conf00_base/BP2/BP2_CHEMBL374372_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_CHEMBL374372_vina.log,0
BP2,LSM-36455,LINCS,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,BP2_LSM-36455,conf00_base,base,0,-7.102,-8.425,work/ensemble_docking/conf00_base/BP2/BP2_LSM-36455_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_LSM-36455_vina.log,0
BP2,2357873;MolPort-002-153-633;ZINC000002897678,MolPort;ZINC15;numeric library ID,O=c1cc(O)c2c(=O)oc3ccccc3c2o1,BP2_2357873,conf00_base,base,0,-7.02,-7.512,work/ensemble_docking/conf00_base/BP2/BP2_2357873_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_2357873_vina.log,0
BP2,2035856,numeric library ID,O=c1cc(Oc2cc(=O)oc3ccccc23)c2ccccc2o1,BP2_2035856,conf00_base,base,0,-7.005,-8.263,work/ensemble_docking/conf00_base/BP2/BP2_2035856_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_2035856_vina.log,0
BP2,CHEMBL3094027,ChEMBL23,O=c1cc(O)c2ccc(OCc3cccc(F)c3)cc2o1,BP2_CHEMBL3094027,conf00_base,base,0,-6.968,-7.763,work/ensemble_docking/conf00_base/BP2/BP2_CHEMBL3094027_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_CHEMBL3094027_vina.log,0
BP2,2608,numeric library ID,O=c1cc2oc3cc(O)c(O)cc3c(-c3ccccc3)c-2cc1O,BP2_2608,conf00_base,base,0,-6.961,-7.791,work/ensemble_docking/conf00_base/BP2/BP2_2608_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_2608_vina.log,0
BP2,HMDB29518,HMDB,CC(=O)c1ccc2oc(=O)cc(C)c2c1O,BP2_HMDB29518,conf00_base,base,0,-6.957,-7.127,work/ensemble_docking/conf00_base/BP2/BP2_HMDB29518_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_HMDB29518_vina.log,0
BP2,1477,numeric library ID,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,BP2_1477,conf00_base,base,0,-6.953,-8.027,work/ensemble_docking/conf00_base/BP2/BP2_1477_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_1477_vina.log,0
BP2,LSM-17202,LINCS,O=c1cc(CN2CCOCC2)c2cc(Cl)c(O)cc2o1,BP2_LSM-17202,conf00_base,base,0,-6.917,-7.148,work/ensemble_docking/conf00_base/BP2/BP2_LSM-17202_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_LSM-17202_vina.log,0
BP2,DB08100,DrugBank,Cc1cc(/C=C/c2ccccc2)cc(C)c1O,BP2_DB08100,conf00_base,base,0,-6.88,-7.784,work/ensemble_docking/conf00_base/BP2/BP2_DB08100_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_DB08100_vina.log,0
BP2,380712;50005460;MolPort-035-673-217;SCHEMBL2761855;ZINC000006576436,MolPort;SureChEMBL;ZINC15;numeric library ID,O=c1cc(O)c2ccc3ccccc3c2o1,BP2_380712,conf00_base,base,0,-6.86,-7.186,work/ensemble_docking/conf00_base/BP2/BP2_380712_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_380712_vina.log,0
BP2,32838,numeric library ID,O=C1NC(=O)C2(CCc3ccccc32)N1,BP2_32838,conf00_base,base,0,-6.786,-7.178,work/ensemble_docking/conf00_base/BP2/BP2_32838_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_32838_vina.log,0
