pocket,ligand_name,compound_ids,source_databases,desalted_smiles,old_best_docking_score_kcal_mol,conf00_base,conf01_mode1_minus,conf02_mode1_plus,conf03_mode2_minus,conf04_mode2_plus,ensemble_best_score_kcal_mol,ensemble_mean_score_kcal_mol,ensemble_std_score_kcal_mol,ensemble_range_score_kcal_mol,enopt_style_weighted_score_kcal_mol,rank_ensemble_best,rank_ensemble_mean,rank_enopt_style_weighted
BP1,BP1_LSM-3723,LSM-3723,LINCS,O=C1c2ccccc2-c2cccc3cccc1c23,-7.064,-7.331,-7.289,-7.359,-7.292,-7.222,-7.359,-7.2986,0.051723302292100336,0.13699999999999957,-7.3003441,11,10,10
BP1,BP1_MolPort-000-499-561,MolPort-000-499-561,MolPort,O=C(O)c1cc(=O)c2ccccc2o1,-6.931,-6.698,-6.615,-6.849,-6.795,-6.703,-6.849,-6.732000000000001,0.09130169768410654,0.23399999999999999,-6.7328062000000015,26,25,25
BP1,BP1_MolPort-002-367-171,MolPort-002-367-171,MolPort,Cc1c(C)c2ccc(O)cc2oc1=O,-7.327,-6.822,-6.696,-6.997,-7.012,-6.637,-7.012,-6.832800000000001,0.17047199183443598,0.375,-6.8359962,22,22,22
BP1,BP1_PEY,PEY,PDB ligand,c1ccc2c(c1)ccc1ccccc12,-7.242,-7.367,-7.32,-7.342,-7.437,-7.232,-7.437,-7.3396,0.0745070466466092,0.20500000000000007,-7.3403989,8,7,7
BP1,BP1_SCHEMBL15388250,SCHEMBL15388250,SureChEMBL,Cc1ccc2c(=O)oc3cc(O)ccc3c2c1,-7.072,-7.273,-7.321,-7.213,-7.383,-7.29,-7.383,-7.295999999999999,0.06254598308444753,0.16999999999999993,-7.2949742,9,11,11
BP1,BP1_SCHEMBL9642273,SCHEMBL9642273,SureChEMBL,O=c1[cH-]c(=O)c2ccccc2o1,-6.514,-6.118,-6.071,-6.194,-6.172,-6.085,-6.194,-6.128,0.053595708783446445,0.12300000000000022,-6.128869100000001,37,37,37
BP2,BP2_118810,118810,numeric library ID,Cc1cc(=O)oc2cc(O)cc(OCc3ccccc3)c12,-8.495,-8.902,-8.176,-8.824,-8.451,-8.716,-8.902,-8.613800000000001,0.29827034716847023,0.7259999999999991,-8.64312698730127,12,13,13
BP2,BP2_13974,13974,numeric library ID,Nc1ccc(N=Nc2ccccc2)c2ccccc12,-7.699,-7.916,-7.521,-8.243,-7.909,-7.815,-8.243,-7.880799999999999,0.25836447124169387,0.7220000000000004,-7.894393460653935,30,28,29
BP2,BP2_1477,1477,numeric library ID,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,-6.953,-8.027,-7.796,-8.089,-8.065,-7.929,-8.089,-7.981199999999999,0.12017154405265813,0.29300000000000015,-7.985356464353565,33,25,25
BP2,BP2_17055,17055,numeric library ID,CC(=O)Oc1ccc2cc(-c3ccccc3)c(=O)oc2c1,-7.183,-7.854,-7.718,-7.804,-7.95,-7.765,-7.95,-7.818199999999999,0.08905728493503505,0.2320000000000002,-7.816557444255574,36,33,34
BP2,BP2_1842204,1842204;MolPort-002-113-300;ZINC000000296657,MolPort;ZINC15;numeric library ID,O=C(Oc1cc(=O)oc2ccccc12)c1ccccc1,-7.367,-7.853,-7.59,-8.427,-7.584,-7.982,-8.427,-7.8872,0.34705864057821695,0.843,-7.91276392360764,25,27,28
BP2,BP2_2035856,2035856,numeric library ID,O=c1cc(Oc2cc(=O)oc3ccccc23)c2ccccc2o1,-7.005,-8.263,-7.787,-8.596,-8.388,-8.05,-8.596,-8.216800000000001,0.3113626502970451,0.8090000000000002,-8.22668503149685,21,22,23
BP2,BP2_2357873,2357873;MolPort-002-153-633;ZINC000002897678,MolPort;ZINC15;numeric library ID,O=c1cc(O)c2c(=O)oc3ccccc3c2o1,-7.02,-7.512,-7.146,-7.875,-7.562,-7.378,-7.875,-7.4946,0.26677106289850855,0.7290000000000001,-7.505672632736726,37,40,40
